State,EV Sales,Gas Sales,Year
Nevada,32900,2398600,2022
New Hampshire,7000,1318500,2022
New Jersey,87000,6855400,2022
New Mexico,7100,1857200,2022
New York,84700,10821400,2022
North Carolina,45600,8656900,2022
North Dakota,600,769900,2022
Ohio,34100,9998000,2022
Oklahoma,16300,4128900,2022
Oregon,47000,3518200,2022
Pennsylvania,47400,9847800,2022
Rhode Island,4300,839600,2022
South Carolina,13500,4812200,2022
South Dakota,1200,918100,2022
Tennessee,22000,6259100,2022
Texas,149000,24659200,2022
Utah,28000,2864000,2022
Vermont,5300,562600,2022
Virginia,56600,7333500,2022
Washington,104100,6344100,2022
West Virginia,1900,1456400,2022
Wisconsin,15700,5318400,2022
Wyoming,800,621900,2022
Alabama,13000,4724800,2023
Alaska,2700,540500,2023
Arizona,89800,6173700,2023
Arkansas,7100,2650700,2023
California,1256600,33471900,2023
Colorado,90100,5115000,2023
Connecticut,31600,2799500,2023
Delaware,8400,874500,2023
District of Columbia,8100,281600,2023
Florida,254900,17760400,2023
Georgia,92400,9275100,2023
Hawaii,25600,1007100,2023
Idaho,8500,1886200,2023
Illinois,99600,9565200,2023
Indiana,26100,5955500,2023
Iowa,9000,3023500,2023
Kansas,11300,2537700,2023
Kentucky,11600,3931000,2023
Louisiana,8200,3702700,2023
Maine,7400,1179500,2023
Maryland,72100,4756400,2023
Massachusetts,73800,5156200,2023
Michigan,50300,8248500,2023
Minnesota,37100,4916300,2023
Mississippi,3600,2681000,2023
Missouri,26900,5433700,2023
Montana,4600,982700,2023
Nebraska,6900,1902600,2023
Nevada,47400,2408200,2023
New Hampshire,9900,1318100,2023
New Jersey,134800,6937800,2023
New Mexico,10300,1870000,2023
New York,131300,10701900,2023
North Carolina,70200,8709300,2023
North Dakota,1000,780200,2023
Ohio,50400,9982200,2023
Oklahoma,22800,4130700,2023
Oregon,64400,3531600,2023
Pennsylvania,70200,9814700,2023
Rhode Island,6400,838000,2023
South Carolina,20900,4884500,2023
South Dakota,1700,889800,2023
Tennessee,33200,6343600,2023
Texas,230100,24944300,2023
Utah,40000,2914000,2023
Vermont,7800,554300,2023
Virginia,84900,7352200,2023
Washington,152100,6268900,2023
West Virginia,2800,1468700,2023
Wisconsin,24900,5341600,2023
Wyoming,1100,628900,2023
